time,temp,ambient light,conduct
2017-02-26 23:11:02,243,11,0
2017-02-26 23:11:04,243,11,0
2017-02-26 23:11:05,243,11,0
2017-02-26 23:11:06,243,11,0
2017-02-26 23:11:07,243,11,0
2017-02-26 23:11:08,243,11,0
2017-02-26 23:11:09,243,11,0
2017-02-26 23:11:10,243,11,0
2017-02-26 23:11:11,243,11,0
2017-02-26 23:11:12,243,11,0
2017-02-26 23:11:13,243,11,0
2017-02-26 23:11:14,243,11,0
2017-02-26 23:11:15,243,11,0
2017-02-26 23:11:16,243,11,0
2017-02-26 23:11:17,243,11,0
2017-02-26 23:11:18,243,11,0
2017-02-26 23:11:19,244,11,0
2017-02-26 23:11:20,244,11,0
2017-02-26 23:11:21,243,11,0
2017-02-26 23:11:22,243,11,0
2017-02-26 23:11:23,243,11,0
2017-02-26 23:11:24,243,11,0
2017-02-26 23:11:25,244,11,0
2017-02-26 23:11:26,244,11,0
2017-02-26 23:11:27,244,11,0
2017-02-26 23:11:28,244,11,0
2017-02-26 23:11:29,244,11,0
2017-02-26 23:11:30,244,11,0
2017-02-26 23:11:31,244,11,0
2017-02-26 23:11:32,244,11,0
2017-02-26 23:11:33,244,11,0
2017-02-26 23:11:34,244,11,0
2017-02-26 23:11:35,244,11,0
2017-02-26 23:11:36,244,11,0
2017-02-26 23:11:37,244,11,0
2017-02-26 23:11:38,244,11,0
2017-02-26 23:11:40,244,11,0
2017-02-26 23:11:41,244,11,0
2017-02-26 23:11:42,244,11,0
2017-02-26 23:11:43,244,11,0
2017-02-26 23:11:44,244,11,0
2017-02-26 23:11:45,244,11,0
2017-02-26 23:11:46,244,11,0
2017-02-26 23:11:47,245,11,0
2017-02-26 23:11:48,244,11,0
2017-02-26 23:11:49,244,11,0
2017-02-26 23:11:50,244,11,0
2017-02-26 23:11:51,244,11,0
2017-02-26 23:11:52,244,11,0
2017-02-26 23:11:53,244,11,0
2017-02-26 23:11:54,244,11,0
2017-02-26 23:11:55,244,11,0
2017-02-26 23:11:56,244,11,0
2017-02-26 23:11:57,244,11,0
2017-02-26 23:11:58,244,11,0
2017-02-26 23:11:59,244,11,0
2017-02-26 23:12:00,244,11,0
2017-02-26 23:12:01,244,11,0
2017-02-26 23:12:02,244,11,0
2017-02-26 23:12:03,244,11,0
2017-02-26 23:12:04,244,11,0
2017-02-26 23:12:05,244,11,0
2017-02-26 23:12:06,244,11,0
2017-02-26 23:12:07,244,11,0
2017-02-26 23:12:08,244,11,0
2017-02-26 23:12:09,244,11,0
2017-02-26 23:12:10,244,11,0
2017-02-26 23:12:11,244,11,0
2017-02-26 23:12:12,244,11,0
2017-02-26 23:12:13,244,11,0
2017-02-26 23:12:15,244,11,0
2017-02-26 23:12:16,244,11,0
2017-02-26 23:12:17,243,11,0
2017-02-26 23:12:18,243,11,0
2017-02-26 23:12:19,243,11,0
